layer	object_id	score	node_id	node_label	state	probability	is_parsimony_best
source_mixture	jingwei	2	Dmel	Dmel	single_source	1	1
source_mixture	jingwei	2	Dmel	Dmel	unknown	0	0
source_mixture	jingwei	2	Dsim	Dsim	multi_source	0	0
source_mixture	jingwei	2	Dsim	Dsim	single_source	1	1
source_mixture	jingwei	2	Dsim	Dsim	unknown	0	0
source_mixture	jingwei	2	yak_tei	yak_tei	multi_source	0.422319	0
source_mixture	jingwei	2	yak_tei	yak_tei	single_source	0.422319	1
source_mixture	jingwei	2	yak_tei	yak_tei	unknown	0.155362	0
source_mixture	jingwei	2	Dere	Dere	multi_source	0	0
source_mixture	jingwei	2	Dere	Dere	single_source	1	1
source_mixture	jingwei	2	Dere	Dere	unknown	0	0
source_mixture	jingwei	2	jgw_clade	jgw_clade	multi_source	0.964663	1
source_mixture	jingwei	2	jgw_clade	jgw_clade	single_source	0.0176684	0
source_mixture	jingwei	2	jgw_clade	jgw_clade	unknown	0.0176684	0
source_mixture	jingwei	2	Dyak	Dyak	multi_source	1	1
source_mixture	jingwei	2	Dyak	Dyak	single_source	0	0
source_mixture	jingwei	2	Dyak	Dyak	unknown	0	0
source_mixture	jingwei	2	Dtei	Dtei	multi_source	1	1
source_mixture	jingwei	2	Dtei	Dtei	single_source	0	0
source_mixture	jingwei	2	Dtei	Dtei	unknown	0	0
copy_multiplicity	jingwei	0	root	root	dispersed_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	root	root	same_contig_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	root	root	single_copy	0.800682	1
copy_multiplicity	jingwei	0	root	root	tandem_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	root	root	unknown	0.0398636	0
copy_multiplicity	jingwei	0	root	root	unresolved	0.0398636	0
copy_multiplicity	jingwei	0	mel_group	mel_group	dispersed_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	mel_group	mel_group	same_contig_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	mel_group	mel_group	single_copy	0.800682	1
copy_multiplicity	jingwei	0	mel_group	mel_group	tandem_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	mel_group	mel_group	unknown	0.0398636	0
copy_multiplicity	jingwei	0	mel_group	mel_group	unresolved	0.0398636	0
copy_multiplicity	jingwei	0	Dmel	Dmel	dispersed_multi_copy	0	0
copy_multiplicity	jingwei	0	Dmel	Dmel	same_contig_multi_copy	0	0
copy_multiplicity	jingwei	0	Dmel	Dmel	single_copy	1	1
copy_multiplicity	jingwei	0	Dmel	Dmel	tandem_multi_copy	0	0
copy_multiplicity	jingwei	0	Dmel	Dmel	unknown	0	0
copy_multiplicity	jingwei	0	Dmel	Dmel	unresolved	0	0
copy_multiplicity	jingwei	0	Dsim	Dsim	dispersed_multi_copy	0	0
copy_multiplicity	jingwei	0	Dsim	Dsim	same_contig_multi_copy	0	0
copy_multiplicity	jingwei	0	Dsim	Dsim	single_copy	1	1
copy_multiplicity	jingwei	0	Dsim	Dsim	tandem_multi_copy	0	0
copy_multiplicity	jingwei	0	Dsim	Dsim	unknown	0	0
copy_multiplicity	jingwei	0	Dsim	Dsim	unresolved	0	0
copy_multiplicity	jingwei	0	yak_tei	yak_tei	dispersed_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	yak_tei	yak_tei	same_contig_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	yak_tei	yak_tei	single_copy	0.800682	1
copy_multiplicity	jingwei	0	yak_tei	yak_tei	tandem_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	yak_tei	yak_tei	unknown	0.0398636	0
copy_multiplicity	jingwei	0	yak_tei	yak_tei	unresolved	0.0398636	0
copy_multiplicity	jingwei	0	Dere	Dere	dispersed_multi_copy	0	0
copy_multiplicity	jingwei	0	Dere	Dere	same_contig_multi_copy	0	0
copy_multiplicity	jingwei	0	Dere	Dere	single_copy	1	1
copy_multiplicity	jingwei	0	Dere	Dere	tandem_multi_copy	0	0
copy_multiplicity	jingwei	0	Dere	Dere	unknown	0	0
copy_multiplicity	jingwei	0	Dere	Dere	unresolved	0	0
copy_multiplicity	jingwei	0	jgw_clade	jgw_clade	dispersed_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	jgw_clade	jgw_clade	same_contig_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	jgw_clade	jgw_clade	single_copy	0.800682	1
copy_multiplicity	jingwei	0	jgw_clade	jgw_clade	tandem_multi_copy	0.0398636	0
copy_multiplicity	jingwei	0	jgw_clade	jgw_clade	unknown	0.0398636	0
copy_multiplicity	jingwei	0	jgw_clade	jgw_clade	unresolved	0.0398636	0
copy_multiplicity	jingwei	0	Dyak	Dyak	dispersed_multi_copy	0	0
copy_multiplicity	jingwei	0	Dyak	Dyak	same_contig_multi_copy	0	0
copy_multiplicity	jingwei	0	Dyak	Dyak	single_copy	1	1
copy_multiplicity	jingwei	0	Dyak	Dyak	tandem_multi_copy	0	0
copy_multiplicity	jingwei	0	Dyak	Dyak	unknown	0	0
copy_multiplicity	jingwei	0	Dyak	Dyak	unresolved	0	0
copy_multiplicity	jingwei	0	Dtei	Dtei	dispersed_multi_copy	0	0
copy_multiplicity	jingwei	0	Dtei	Dtei	same_contig_multi_copy	0	0
copy_multiplicity	jingwei	0	Dtei	Dtei	single_copy	1	1
copy_multiplicity	jingwei	0	Dtei	Dtei	tandem_multi_copy	0	0
copy_multiplicity	jingwei	0	Dtei	Dtei	unknown	0	0
copy_multiplicity	jingwei	0	Dtei	Dtei	unresolved	0	0
